VALUE,6309,6310,6311,6312,6313,6314,6315,6316,6317,6318,6319,6320,6321,6322,6323,6324,6325,6326,6327,6328,6329,6330,6331,6332,6333,6334,6335,6336,6337,6338,6339,6340,6341,6342,6343,6344,6345,6346,6347,6348,6349,6350,6351
2025 Market Value,735026,663907,569992,602427,"$460,28",968766,550119,709604,580969,480134,467935,610318,538409,1218146,534991,645249,511115,594432,498357,491374,511166,418286,580180,570962,537870,469010,610407,525573,521957,530604,555046,469131,538374,532125,556802,504815,531620,573558,434345,531703,514098,498815,
Total Improvement Market Value,677026,603222,511992,538677,415135,888796,505175,642133,536025,432539,422991,553356,494642,1116617,488260,572105,466171,549221,453413,446221,467161,373092,535439,526673,492212,423898,564749,479498,476299,484488,509388,422975,492716,485922,511144,458572,485962,527274,390839,485373,465906,454532,
Total Land Market Value,58000,60685,58000,63750,45153,79970,44944,67471,44944,47595,44944,56962,43767,101529,46731,73144,44944,45211,44944,45153,44005,45194,44741,44289,45658,45112,45658,46075,45658,46116,45658,46156,45658,46203,45658,46243,45658,46284,43506,46330,48192,44283,
Homestead Cap Loss,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Total Main Area (Sq. Ft.),3905,3898,3611,3786,2747,2591,3132,3472,3460,3392,2902,3477,3365,3580,3358,4011,3164,3490,3033,2994,3158,2758,3408,3862,3338,2758,2676,3272,3178,3259,3034,3543,3296,3232,3503,3135,3286,3379,2901,3227,3121,3064,0
Main Area (Sq. Ft.),3192,3226,3036,2877,2241,2041,2582,3147,2910,2842,2382,2925,2773,3097,2806,3219,2636,2962,2527,2444,2652,2252,2902,2743,2809,2279,2148,2697,2628,2707,2696,2991,2768,2745,2927,2610,2758,2851,2417,2743,2593,2514,
Main Area (Value)Â ,558004,0,447924,432168,376845,367600,433934,570725,474970,374951,385155,482340,451287,624126,448552,515077,427626,483458,415934,405188,430222,338833,468781,444984,453758,387270,331544,437522,435303,443767,441963,390541,453766,449996,443268,419843,447417,460543,358531,449668,426798,413794,
Garage (Sq. Ft.),713,672,575,909,506,550,550,325,550,550,520,552,592,483,552,792,528,528,506,550,506,506,506,1119,529,479,528,575,550,552,338,552,528,487,576,525,528,528,484,484,528,550,
Garage (Value),56089,0,38175,61445,38290,44577,41595,26523,40397,32653,37836,40962,43355,43802,39708,57028,38545,38781,37479,41033,36939,34259,36782,81689,38454,36628,36674,41976,40996,40721,24934,32434,38950,35926,39254,38729,38545,38381,32308,35705,39108,40738,
Land (Sq. Ft.),10000,10463,10000,10625,7785,13788,7749,11633,7749,8206,7749,9821,7546,17505,8057,12611,7749,7795,7749,7785,7587,7792,7714,7636,7872,7778,7872,7944,7872,7951,7872,7958,7872,7966,7872,7973,7872,7980,7501,7988,8309,7635,
Second Garage (Sq. Ft),350,406,390,0,0,435,392,550,0,420,0,405,0,0,0,0,0,0,0,0,0,0,411,0,0,0,0,0,0,0,576,0,0,0,420,0,0,390,0,0,0,0,
Second Main Area (Sq. Ft),270,0,0,400,0,2147,0,0,0,0,0,0,0,1485,0,0,0,0,0,0,0,0,0,0,0,0,1384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Pool,0,0,0,0,0,435,0,0,392,0,0,0,0,612,0,0,0,544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
